2025-06-23T19:56:57.328994-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-23T20:06:56.412934-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-23T20:13:45.252779-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-23T20:24:18.524537-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-23T20:29:34.891160-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T00:52:40.998812-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T01:02:27.832960-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T01:10:42.165333-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T01:11:08.520366-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T01:16:36.294694-0600 | INFO | utils.logging_config | Sistema de logging configurado
2025-06-24T01:19:00.501961-0600 | INFO | utils.logging_config | Sistema de logging configurado
